iter	RMSE
124	7.370896739
125	7.291752494
126	7.204342928
127	7.12617368
128	7.030627591
129	6.954204634
130	6.870181539
131	6.78836376
132	6.712827886
133	6.632785122
134	6.56316305
135	6.510965894
136	6.435834975
137	6.363001112
138	6.295269124
139	6.223558416
140	6.172711617
141	6.113167474
142	6.040112079
143	5.96547333
144	5.906411782
145	5.854146322
146	5.795808797
147	5.747620208
148	5.690359448
149	5.635629938
150	5.580145305
151	5.522092317
152	5.459830715
153	5.404830586
154	5.352581765
155	5.298569872
156	5.263288739
157	5.207068406
158	5.158868261
159	5.107829929
160	5.061864487
161	5.020706887
162	4.976430293
163	4.940736593
164	4.901525868
165	4.857353033
166	4.814037674
167	4.776342347
168	4.734498237
169	4.695455953
170	4.661810879
171	4.625496321
172	4.596679483
173	4.561156316
174	4.526592455
175	4.491423947
176	4.450768031
177	4.4100447
178	4.37092105
179	4.332464333
180	4.307008018
181	4.275919601
182	4.250470536
183	4.217698464
184	4.181383109
185	4.149327084
186	4.123383974
187	4.094484067
188	4.063278623
189	4.032800377
190	4.004712849
191	3.976678674
192	3.951257441
193	3.924635216
194	3.896506212
195	3.873895073
196	3.851302429
197	3.824983231
198	3.799450261
199	3.776316621
200	3.748657295
201	3.729494251
202	3.708406895
203	3.681907449
204	3.661038117
205	3.640964821
206	3.618212187
207	3.596542135
208	3.57256824
209	3.553035128
210	3.536817652
211	3.515275468
212	3.494079173
213	3.472196232
214	3.449585557
215	3.431079471
216	3.411259457
217	3.394526286
218	3.373457691
219	3.352459396
220	3.336451341
221	3.316792435
222	3.302994558
223	3.281756814
224	3.259177922
225	3.243402641
226	3.229648281
227	3.216421238
228	3.203772228
229	3.184695641
230	3.168072737
231	3.149979025
232	3.137309728
233	3.12338342
234	3.110677988
235	3.097346406
236	3.081924437
237	3.070072291
238	3.05495236
239	3.043933991
240	3.029933313
241	3.016049145
242	3.004929909
243	2.991089073
244	2.978631897
245	2.96855698
246	2.951705063
247	2.93680319
248	2.921962585
249	2.909380672
250	2.900375528
251	2.891621853
252	2.882441453
253	2.874567822
254	2.860777701
255	2.847338123
256	2.837960261
257	2.826449171
258	2.816192536
259	2.803998466
260	2.793139107
261	2.78444817
262	2.775774759
263	2.764025809
264	2.759181603
265	2.755191083
266	2.749346682
267	2.745464416
268	2.737090511
269	2.733620198
270	2.724305983
271	2.71826662
272	2.707644768
273	2.703006743
274	2.699779124
275	2.694452105
276	2.687081975
277	2.681567701
278	2.672635924
279	2.662511252
280	2.656799949
281	2.649789615
282	2.643153018
283	2.639991753
284	2.635016023
285	2.629201399
286	2.619126508
287	2.609259067
288	2.606684157
289	2.595440569
290	2.592900087
291	2.590157752
292	2.585398911
293	2.583018602
294	2.580542371
295	2.569217947
296	2.566818591
297	2.564158435
298	2.5552186
299	2.552903842
300	2.541420593
301	2.538701996
302	2.536193111
303	2.52695454
304	2.524764502
305	2.522500582
306	2.520271749
307	2.517913951
308	2.50980691
309	2.497579721
310	2.495526357
311	2.493256517
312	2.490854565
313	2.488650351
314	2.476810028
315	2.473793853
316	2.470855517
317	2.469041515
318	2.467207999
319	2.464981951
320	2.460093939
321	2.452558894
322	2.448606556
323	2.445472435
324	2.443387092
325	2.441159579
326	2.429902354
327	2.428104971
328	2.426223558
329	2.424427701
330	2.422590955
331	2.419413453
332	2.417686765
333	2.416144432
334	2.414466446
335	2.41280869
336	2.411347382
337	2.409662872
338	2.40824402
339	2.399962888
340	2.398561909
341	2.397184073
342	2.395826442
343	2.387284541
344	2.377705895
345	2.365454181
346	2.36345946
347	2.362073149
348	2.360784003
349	2.359515519
350	2.35795486
351	2.356722294
352	2.355563478
353	2.354293649
354	2.352100059
355	2.34408007
356	2.33566274
357	2.333682616
358	2.332231539
359	2.331101757
360	2.320837701
361	2.314386529
362	2.302939371
363	2.301836983
364	2.298276556
365	2.296963669
366	2.295558619
367	2.286080504
368	2.284953173
369	2.278736582
370	2.276372582
371	2.26941774
372	2.260568646
373	2.257683977
374	2.256218073
375	2.254495586
376	2.253465425
377	2.248594179
378	2.247555037
379	2.246568248
380	2.236469139
381	2.227863034
382	2.220366664
383	2.211462585
384	2.21051828
385	2.201081925
386	2.196359266
387	2.195530343
388	2.187888242
389	2.186798709
390	2.185101653
391	2.175037392
392	2.174025079
393	2.17297558
394	2.172165769
395	2.171334007
396	2.163964156
397	2.155556028
398	2.153855515
399	2.152997788
400	2.152212576
401	2.142071343
402	2.141141674
403	2.14035163
404	2.134660303
405	2.125189876
406	2.123857198
407	2.121189291
408	2.115352901
409	2.111464263
410	2.110447615
411	2.109532612
412	2.103510681
413	2.102767907
414	2.098791398
415	2.097539983
416	2.096544157
417	2.094205593
418	2.091199758
419	2.089230591
420	2.081219186
421	2.074598495
422	2.073907996
423	2.073242328
424	2.066332599
425	2.061836186
426	2.061174194
427	2.055433525
428	2.051688568
429	2.048255786
430	2.047362012
431	2.046585538
432	2.044076813
433	2.035642089
434	2.034977854
435	2.028389035
436	2.027362381
437	2.026607899
438	2.020825715
439	2.016398323
440	2.011075057
441	2.005590498
442	1.998650655
443	1.993056063
444	1.985873948
445	1.982702156
446	1.981973735
447	1.974871403
448	1.970800782
449	1.969021823
450	1.968478091
451	1.967689362
452	1.961104665
453	1.954830177
454	1.952704027
455	1.952113296
456	1.949120158
457	1.944039351
458	1.943491258
459	1.937047594
460	1.936408031
461	1.931845416
462	1.926304992
463	1.922710372
464	1.91553288
465	1.914670477
466	1.912583037
467	1.90906192
468	1.905273952
469	1.9015103
470	1.894253232
471	1.891102254
472	1.886543803
473	1.882624747
474	1.880067657
475	1.877563923
476	1.877030313
477	1.87389456
478	1.869071934
479	1.862787591
480	1.860744387
481	1.860156086
482	1.858678279
483	1.854250981
484	1.853462263
485	1.851957259
486	1.848248478
487	1.844874838
488	1.843353612
489	1.840985047
490	1.834923999
491	1.832529369
492	1.831911589
493	1.827040219
494	1.822438731
495	1.822033829
496	1.816496111
497	1.815042442
498	1.813122523
499	1.812585487
500	1.810374879
501	1.806608665
502	1.801167658
503	1.795917911
504	1.791153
505	1.788400116
506	1.787986513
507	1.785648289
508	1.784270048
509	1.778987296
510	1.775691711
511	1.772178045
512	1.769163264
513	1.767519947
514	1.767093516
515	1.765021657
516	1.763837876
517	1.760719113
518	1.756820283
519	1.754778138
520	1.750614189
521	1.74302731
522	1.74004903
523	1.736540827
524	1.733137515
525	1.732427883
526	1.731257267
527	1.728347161
528	1.723545345
529	1.72292212
530	1.722263741
531	1.720489547
532	1.717082803
533	1.712364328
534	1.710576019
535	1.710045133
536	1.708362225
537	1.707945422
538	1.702604442
539	1.697877355
540	1.69263575
541	1.690710069
542	1.686718796
543	1.682995182
544	1.680671951
545	1.675007032
546	1.671151693
547	1.666962576
548	1.666520217
549	1.66313518
550	1.658285025
551	1.65262315
552	1.648809154
553	1.646301159
554	1.645800813
555	1.642665562
556	1.638622286
557	1.635237828
558	1.63241
559	1.62962036
560	1.626340876
561	1.625966804
562	1.623100075
563	1.620735486
564	1.619241227
565	1.615088633
566	1.613035071
567	1.610183447
568	1.607191747
569	1.603010685
570	1.601235552
571	1.59874273
572	1.595856471
573	1.594169862
574	1.590810145
575	1.58741924
576	1.583832357
577	1.581707991
578	1.580148888
579	1.576036947
580	1.574788371
581	1.57281708
582	1.572526895
583	1.57084937
584	1.567625941
585	1.565336657
586	1.563920137
587	1.560893284
588	1.557939904
589	1.55623374
590	1.55311854
591	1.550198516
592	1.547160706
593	1.543742577
594	1.540726438
595	1.537386273
596	1.535110648
597	1.531972184
598	1.530036597
599	1.529663048
600	1.527403961
601	1.526464346
602	1.523266628
603	1.520707357
604	1.518898951
605	1.515645319
606	1.51380374
607	1.510104646
608	1.509768654
609	1.508341209
610	1.508011059
611	1.50569246
612	1.50466955
613	1.502276736
614	1.501354024
615	1.499787625
616	1.497357253
617	1.495519584
618	1.495202851
619	1.492457478
620	1.491719799
621	1.490371385
622	1.488030821
623	1.485346316
624	1.482236454
625	1.480633288
626	1.478561447
627	1.476511061
628	1.474324933
629	1.471139498
630	1.468865584
631	1.467216564
632	1.466963432
633	1.465077721
634	1.463625803
635	1.461206187
636	1.459504342
637	1.458546249
638	1.456825902
639	1.454994693
640	1.454734387
641	1.453711291
642	1.451328894
643	1.448518836
644	1.44543421
645	1.444648496
646	1.44330744
647	1.440039911
648	1.438739604
649	1.438434284
650	1.435448368
651	1.433103165
652	1.432157712
653	1.430983883
654	1.429042616
655	1.426092767
656	1.42419338
657	1.422480837
658	1.419642225
659	1.415896383
660	1.413795948
661	1.412536814
662	1.409564783
663	1.407772711
664	1.407516871
665	1.407094563
666	1.405455862
667	1.40417349
668	1.401584043
669	1.40012625
670	1.398598979
671	1.397224092
672	1.396072402
673	1.394917034
674	1.39359113
675	1.392054407
676	1.390401897
677	1.387170968
678	1.386476853
679	1.384623776
680	1.38316256
681	1.381310236
682	1.380070241
683	1.377715442
684	1.377405006
685	1.374852592
686	1.37321567
687	1.373014391
688	1.371120195
689	1.370014447
690	1.368040224
691	1.366815288
692	1.363837221
693	1.362321518
694	1.360890606
695	1.35910074
696	1.357765288
697	1.355244141
698	1.352760903
699	1.349616845
700	1.348898319
701	1.347518472
702	1.345707395
703	1.344330723
704	1.342743599
705	1.340595896
706	1.338617763
707	1.337660152
708	1.334880666
709	1.333627736
710	1.332005262
711	1.330966424
712	1.329628201
713	1.328428946
714	1.326828386
715	1.325602795
716	1.324418644
717	1.322891442
718	1.320212146
719	1.317616712
720	1.314935014
721	1.314665831
722	1.31369405
723	1.312330052
724	1.312173655
725	1.311147607
726	1.308926773
727	1.308483799
728	1.307417954
729	1.305877822
730	1.302914999
731	1.300591229
732	1.298697873
733	1.296950848
734	1.295890534
735	1.295660833
736	1.295473692
737	1.293351492
738	1.292677129
739	1.291245519
740	1.28982827
741	1.288254918
742	1.285480331
743	1.283969935
744	1.282984152
745	1.280275193
746	1.279082229
747	1.277651833
748	1.276689969
749	1.276078236
750	1.274584598
751	1.272241275
752	1.26950645
753	1.268347959
754	1.267162998
755	1.266407248
756	1.265250623
757	1.264341873
758	1.263673842
759	1.261386947
760	1.259043056
761	1.257415332
762	1.255725057
763	1.254664671
764	1.254384884
765	1.253757126
766	1.253125012
767	1.251224508
768	1.249835831
769	1.248668188
770	1.247924363
771	1.245904153
772	1.245146545
773	1.243232578
774	1.242477464
775	1.240060683
776	1.23925468
777	1.237137103
778	1.23468157
779	1.233644824
780	1.232397803
781	1.22998707
782	1.229742828
783	1.227822361
784	1.227170232
785	1.226228774
786	1.22537079
787	1.224036931
788	1.22182029
789	1.221639235
790	1.221200049
791	1.220043728
792	1.219137909
793	1.218183019
794	1.216047271
795	1.214273842
796	1.212776075
797	1.211822241
798	1.211618145
799	1.211402617
800	1.21093025
801	1.209981861
802	1.208258335
803	1.206343668
804	1.205143189
805	1.203241041
806	1.202037683
807	1.200994582
808	1.199583209
809	1.198832696
810	1.197487637
811	1.19623175
812	1.195222757
813	1.1941711
814	1.191999161
815	1.190888633
816	1.189279429
817	1.187237928
818	1.186298447
819	1.185269149
820	1.183856295
821	1.181603842
822	1.180546808
823	1.179635538
824	1.178885874
825	1.178697788
826	1.177399079
827	1.177280599
828	1.175957589
829	1.173611339
830	1.172218919
831	1.170696541
832	1.169810265
833	1.168006957
834	1.167083746
835	1.165606851
836	1.165483165
837	1.164043345
838	1.16230537
839	1.161100874
840	1.159669231
841	1.15821911
842	1.156759388
843	1.156179481
844	1.15457431
845	1.152979372
846	1.151837445
847	1.149586892
848	1.148911668
849	1.148177631
850	1.145898983
851	1.144284159
852	1.142498977
853	1.141655479
854	1.140801755
855	1.140290084
856	1.139130515
857	1.138078304
858	1.136610749
859	1.134848668
860	1.133077093
861	1.130752569
862	1.129669738
863	1.128915409
864	1.127858206
865	1.127672819
866	1.126514552
867	1.124633434
868	1.123542216
869	1.122029997
870	1.121897065
871	1.120710421
872	1.118750776
873	1.117442756
874	1.116789037
875	1.11557924
876	1.113708841
877	1.112714456
878	1.111739144
879	1.11103516
880	1.109928404
881	1.109124993
882	1.107372927
883	1.107210053
884	1.106504388
885	1.105211929
886	1.104016056
887	1.103353154
888	1.101674424
889	1.100654782
890	1.099262839
891	1.098103714
892	1.096234907
893	1.094145704
894	1.092947307
895	1.092785203
896	1.092621324
897	1.09125396
898	1.089738343
899	1.089029668
900	1.088049166
901	1.086267034
902	1.084890474
903	1.084093745
904	1.083943219
905	1.082886429
906	1.082297551
907	1.080811987
908	1.079195259
909	1.078207679
910	1.07658455
911	1.074916338
912	1.073670282
913	1.071994131
914	1.070333608
915	1.069204724
916	1.06822764
917	1.067863002
918	1.066370042
919	1.065238258
920	1.064071418
921	1.062763579
922	1.061688792
923	1.059900972
924	1.059056763
925	1.058478555
926	1.0574861
927	1.05630451
928	1.055683445
929	1.053798598
930	1.053252563
931	1.052087807
932	1.05012573
933	1.048549975
934	1.047605209
935	1.046532892
936	1.046004924
937	1.04476862
938	1.043155431
939	1.04084349
940	1.039328836
941	1.038244151
942	1.037178599
943	1.03637985
944	1.036208534
945	1.03596053
946	1.034811095
947	1.033451325
948	1.032408351
949	1.031812763
950	1.030998509
951	1.03036605
952	1.0298605
953	1.029697424
954	1.028307327
955	1.02738984
956	1.02674186
957	1.024755387
958	1.02325027
959	1.022201019
960	1.021009617
961	1.020902893
962	1.019992558
963	1.019537285
964	1.019273462
965	1.018708302
966	1.017331135
967	1.016522969
968	1.015646493
969	1.014887906
970	1.013947523
971	1.013192611
972	1.011636868
973	1.010647025
974	1.008918757
975	1.008088898
976	1.006550882
977	1.005749042
978	1.004151902
979	1.003082302
980	1.001781579
981	1.000373004
982	0.9998205241
983	0.9995067463
984	0.9981001423
985	0.997256072
986	0.9960468534
987	0.9955510807
988	0.9942328851
989	0.9919821973
990	0.9911649639
991	0.9910009961
992	0.9901712254
993	0.9891124506
994	0.9882629295
995	0.9877482604
996	0.9865895058
997	0.9862435487
998	0.9849874537
999	0.9840876617
